published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
8/21/2019,147,147,145,145,-2.03,8208,1196566,-1
8/22/2019,145,146,142,142,-2.07,17331,2491520,-1
8/25/2019,144,144,142,143,0.7,9927,1414620,1
8/26/2019,145,145,145,145,1.4,1251,181395,1
8/27/2019,147,147,144,146,0.69,2703,391788,1
8/28/2019,146,146,143,143,-2.05,4259,614845,-1
8/29/2019,145,145,143,144,0.7,2645,379951,1
9/1/2019,143,145,142,142,-1.39,1635,234225,-1
9/2/2019,141,142,140,142,0,10286,1445580,0
9/3/2019,140,149,140,149,4.93,5376,768040,1
9/4/2019,147,147,144,145,-2.68,1300,188510,-1
9/5/2019,143,145,143,145,0,3321,476007,0
9/8/2019,145,145,141,141,-2.76,1330,188730,-1
9/9/2019,141,142,138,140,-0.71,9571,1335853,-1
9/10/2019,142,143,140,140,0,4624,647870,0
9/11/2019,141,141,140,140,0,3553,499900,0
9/12/2019,141,141,139,139,-0.71,7643,1068876,-1
9/15/2019,139,139,136,138,-0.72,11198,1536874,-1
9/16/2019,138,140,137,138,0,7686,1062404,0
9/17/2019,138,143,138,142,2.9,7318,1029506,1
9/18/2019,135,145,135,145,2.11,7799,1096408,1
9/19/2019,143,143,141,143,-1.38,1367,193847,-1
9/22/2019,138,139,138,139,-2.8,1734,239692,-1
9/23/2019,138,140,138,139,0,2522,352412,0
9/24/2019,138,139,138,139,0,3594,496926,0
9/25/2019,139,140,138,140,0.72,3190,443126,1
9/26/2019,138,140,138,138,-1.43,3961,553708,-1
9/29/2019,140,140,138,140,1.45,4613,645686,1
9/30/2019,138,142,137,142,1.43,2068,290676,1
10/1/2019,142,144,140,142,0,5293,752948,0
10/2/2019,142,142,140,140,-1.41,12118,1713940,-1
10/3/2019,142,145,142,145,3.57,5461,786183,1
10/10/2019,144,144,143,143,-1.38,403,57832,-1
10/14/2019,141,142,141,141,-1.4,1900,268450,-1
10/15/2019,140,142,140,142,0.71,3462,491112,1
10/16/2019,141,143,141,141,-0.7,3461,489125,-1
10/17/2019,140,142,140,141,0,5756,811396,0
10/20/2019,140,142,140,142,0.71,2851,402040,1
10/21/2019,144,144,141,141,-0.7,3179,455238,-1
10/22/2019,141,143,141,143,1.42,2002,284681,1
10/23/2019,141,144,141,144,0.7,3024,433730,1
10/24/2019,143,145,143,145,0.69,2590,374226,1
10/31/2019,145,145,144,145,0,1137,164835,0
11/3/2019,145,145,143,144,-0.69,1413,202910,-1
11/4/2019,143,145,143,145,0.69,3664,525659,1
11/5/2019,143,144,143,143,-1.38,3447,493818,-1
11/6/2019,141,144,141,144,0.7,1179,167139,1
11/7/2019,142,144,142,144,0,721,103092,0
11/10/2019,144,144,143,144,0,1988,285301,0
11/11/2019,144,146,141,143,-0.69,6006,852846,-1
11/12/2019,141,141,140,140,-2.1,5041,710741,-1
11/13/2019,139,142,138,138,-1.43,12055,1676060,-1
11/14/2019,138,138,137,137,-0.72,5532,757999,-1
11/17/2019,137,138,134,134,-2.19,5958,809014,-1
11/18/2019,135,136,133,134,0,6371,857370,0
11/19/2019,135,135,134,135,0.75,6919,932917,1
11/20/2019,135,135,135,135,0,4090,552150,0
11/21/2019,136,136,134,134,-0.74,6504,873944,-1
11/24/2019,132,135,132,132,-1.49,8387,1113516,-1
11/25/2019,134,136,133,133,0.76,1598,214801,1
11/26/2019,134,134,131,133,0,822,109535,0
11/27/2019,133,134,133,133,0,4921,656128,0
11/28/2019,135,135,131,131,-1.5,12735,1682930,-1
12/1/2019,131,133,131,132,0.76,11982,1582132,1
12/2/2019,132,133,131,132,0,2301,302890,0
12/3/2019,132,134,132,133,0.76,4704,625964,1
12/4/2019,134,134,133,133,0,2528,337134,0
12/5/2019,135,135,132,132,-0.75,4587,609833,-1
12/8/2019,132,134,132,133,0.76,2282,304243,1
12/9/2019,135,139,134,139,4.51,6895,942499,1
12/10/2019,140,140,136,137,-1.44,1722,236506,-1
12/11/2019,136,140,136,140,2.19,4113,572936,1
12/12/2019,139,140,136,138,-1.43,12298,1697912,-1
12/15/2019,140,142,140,141,2.17,24528,3451749,1
12/16/2019,139,139,136,136,-3.55,9682,1322734,-1
12/17/2019,135,136,134,135,-0.74,5268,709363,-1
12/18/2019,134,135,134,134,-0.74,1015,136180,-1
12/19/2019,134,135,133,134,0,3669,491857,0
12/22/2019,132,136,131,136,1.49,2280,307274,1
12/23/2019,135,137,135,137,0.74,3219,438619,1
12/24/2019,137,137,135,137,0,14488,1969811,0
12/25/2019,137,138,136,136,-0.73,646,88516,-1
12/26/2019,138,138,134,134,-1.47,3310,445745,-1
12/29/2019,134,136,133,133,-0.75,4668,627023,-1
12/30/2019,135,139,134,136,2.26,2872,389627,1
12/31/2019,134,136,134,134,-1.47,4516,606139,-1
1/1/2020,135,135,133,135,0.75,3828,513888,1
1/2/2020,137,137,134,134,-0.74,7967,1075905,-1
1/5/2020,132,139,132,135,0.75,41151,5548930,1
1/6/2020,136,140,136,139,2.96,41481,5685147,1
1/7/2020,140,141,138,141,1.44,17824,2500167,1
1/8/2020,140,143,138,138,-2.13,9841,1370019,-1
1/9/2020,140,140,138,138,0,712,98498,0
1/12/2020,138,145,138,142,2.9,20496,2920733,1
1/13/2020,144,152,143,145,2.11,33985,5008238,1
1/14/2020,145,145,142,144,-0.69,6641,954244,-1
1/15/2020,145,152,145,148,2.78,14525,2146595,1
1/16/2020,150,156,149,155,4.73,60145,9216463,1
1/19/2020,158,167,155,162,4.52,55796,8984152,1
1/20/2020,164,164,154,156,-3.7,56373,8943517,-1
1/21/2020,154,161,153,157,0.64,28985,4536925,1
1/22/2020,157,157,154,156,-0.64,11324,1757041,-1
1/23/2020,155,155,152,154,-1.28,17992,2755692,-1
1/26/2020,152,155,150,151,-1.95,18791,2872408,-1
1/27/2020,151,157,149,157,3.97,18583,2833963,1
1/28/2020,155,157,152,153,-2.55,16305,2511105,-1
1/29/2020,153,155,152,154,0.65,9795,1494608,1
1/30/2020,153,156,153,154,0,12042,1859302,0
2/2/2020,155,159,155,158,2.6,26364,4132290,1
2/3/2020,161,163,156,162,2.53,31405,5018700,1
2/4/2020,159,171,159,161,-0.62,49995,8216727,-1
2/5/2020,163,165,161,162,0.62,14981,2441776,1
2/6/2020,161,164,161,162,0,11445,1857557,0
2/9/2020,164,164,158,160,-1.23,11835,1888408,-1
2/10/2020,160,163,158,162,1.25,30001,4846076,1
2/11/2020,164,165,160,162,0,14308,2316537,0
2/12/2020,163,163,160,160,-1.23,18800,3020999,-1
2/13/2020,161,162,160,160,0,18577,2984808,0
2/16/2020,160,161,159,160,0,19356,3095544,0
2/17/2020,162,166,161,162,1.25,25586,4194320,1
2/18/2020,165,171,163,168,3.7,78813,13164265,1
2/19/2020,169,173,167,173,2.98,49743,8517680,1
2/20/2020,174,175,169,172,-0.58,18588,3186630,-1
2/23/2020,175,187,172,186,8.14,86856,15776901,1
2/24/2020,185,185,177,178,-4.3,34528,6253209,-1
2/25/2020,178,181,175,179,0.56,25573,4553669,1
2/26/2020,180,188,180,180,0.56,44397,8118854,1
2/27/2020,180,198,178,190,5.56,134163,25287192,1
3/1/2020,192,196,181,181,-4.74,75055,14151131,-1
3/2/2020,178,184,172,172,-4.97,36329,6385930,-1
3/3/2020,169,177,166,173,0.58,55370,9572733,1
3/4/2020,171,176,167,167,-3.47,36897,6259065,-1
3/5/2020,170,175,164,169,1.2,25224,4271255,1
3/10/2020,166,166,157,157,-7.1,16850,2714450,-1
3/11/2020,160,168,159,168,7.01,23159,3787515,1
3/12/2020,165,168,161,163,-2.98,10818,1773558,-1
3/15/2020,166,166,155,156,-4.29,28780,4527997,-1
3/16/2020,154,162,154,157,0.64,27046,4246010,1
3/17/2020,156,159,150,151,-3.82,33573,5147651,-1
3/18/2020,153,153,146,148,-1.99,19199,2856192,-1
3/19/2020,146,155,145,155,4.73,21633,3210082,1
3/22/2020,155,155,152,152,-1.94,200,30700,-1
5/12/2020,149,149,148,148,-2.63,2010,299480,-1
6/29/2020,146,146,136,139,-8.11,18933,2602752,-1
6/30/2020,140,144,140,144,3.6,960,135520,1
7/1/2020,144,146,144,145,0.69,1015,147860,1
7/2/2020,147,147,142,142,-2.07,2419,347512,-1
7/5/2020,140,142,136,139,-2.11,12271,1723343,-1
7/6/2020,140,143,139,143,2.88,6869,970949,1
7/7/2020,145,149,145,146,2.1,8842,1297694,1
7/8/2020,144,146,144,146,0,11918,1730469,0
7/9/2020,148,149,146,149,2.05,2991,441888,1
7/12/2020,151,151,146,148,-0.67,14457,2127179,-1
7/13/2020,147,149,146,147,-0.68,5865,858981,-1
7/14/2020,145,147,144,144,-2.04,7058,1028048,-1
7/15/2020,145,148,145,145,0.69,4977,727242,1
7/16/2020,146,156,146,153,5.52,9519,1446396,1
7/19/2020,159,165,159,165,7.84,140,22680,1
7/20/2020,173,176,161,161,-2.42,22852,3850569,-1
7/21/2020,158,163,155,155,-3.73,10477,1655638,-1
7/22/2020,158,161,154,157,1.29,7999,1245540,1
7/23/2020,160,160,155,156,-0.64,3271,512053,-1
7/26/2020,158,158,153,157,0.64,11526,1787915,1
7/27/2020,157,159,155,159,1.27,14769,2333962,1
7/28/2020,158,158,156,158,-0.63,2154,338973,-1
7/29/2020,155,158,153,154,-2.53,8379,1301469,-1
7/30/2020,151,159,151,155,0.65,6360,977459,1
8/2/2020,152,155,150,152,-1.94,12989,1963038,-1
8/3/2020,149,154,147,151,-0.66,15874,2374554,-1
8/5/2020,151,157,147,153,1.32,9785,1453348,1
8/6/2020,153,154,146,153,0,5975,893188,0
8/9/2020,150,153,147,153,0,7008,1052587,0
8/10/2020,153,155,151,155,1.31,6878,1054982,1
8/11/2020,156,156,150,154,-0.65,15640,2388018,-1
8/12/2020,151,155,151,153,-0.65,2898,441417,-1
8/13/2020,153,153,150,152,-0.65,3107,470674,-1
8/16/2020,149,149,142,145,-4.61,31922,4574813,-1
8/17/2020,143,145,143,145,0,4052,585602,0
8/18/2020,146,146,141,141,-2.76,13962,1991810,-1
8/19/2020,139,146,137,144,2.13,11349,1634782,1
8/20/2020,144,147,141,144,0,10541,1503318,0
8/23/2020,143,145,142,144,0,8611,1228162,0
8/24/2020,146,146,143,143,-0.69,11503,1663013,-1
8/25/2020,144,145,143,145,1.4,12344,1771159,1
8/26/2020,145,145,142,145,0,20701,2964326,0
8/27/2020,144,145,142,142,-2.07,9026,1294470,-1
8/30/2020,144,144,140,141,-0.7,15283,2153055,-1
8/31/2020,142,144,140,142,0.71,43866,6203080,1
9/2/2020,142,148,141,148,4.23,44436,6399537,1
9/3/2020,150,153,145,145,-2.03,8711,1279216,-1
9/6/2020,152,152,142,144,-0.69,26578,3826518,-1
9/7/2020,142,143,141,142,-1.39,14706,2091250,-1
9/8/2020,142,143,141,142,0,6481,919594,0
9/9/2020,149,149,140,140,-1.41,11808,1669243,-1
9/10/2020,142,143,140,143,2.14,12889,1824566,1
9/13/2020,142,144,141,143,0,16578,2354588,0
9/14/2020,143,145,143,144,0.7,18672,2679734,1
9/15/2020,145,145,141,142,-1.39,16909,2403264,-1
9/16/2020,149,149,141,143,0.7,14428,2045678,1
9/17/2020,144,157,142,154,7.69,97859,14721415,1
9/20/2020,161,165,154,154,0,66364,10434692,0
9/21/2020,155,157,149,151,-1.95,21858,3317092,-1
9/22/2020,150,153,148,150,-0.66,22321,3359863,-1
9/23/2020,147,153,147,152,1.33,14681,2208186,1
9/24/2020,152,156,152,156,2.63,42158,6497194,1
9/27/2020,158,161,154,156,0,54123,8504041,0
9/28/2020,156,164,156,162,3.85,92618,14918017,1
9/29/2020,160,172,159,170,4.94,115935,19371914,1
9/30/2020,178,187,170,187,10,273028,48998996,1
10/1/2020,195,205,188,205,9.63,336568,67280742,1
10/4/2020,200,214,199,200,-2.44,205340,41987844,-1
10/5/2020,196,220,194,220,10,366764,77987106,1
10/6/2020,218,224,207,213,-3.18,189698,40911619,-1
10/7/2020,210,234,210,229,7.51,269536,60725344,1
10/8/2020,233,235,221,223,-2.62,133931,30350276,-1
