published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
5/27/2022,520.1,530.1,520.1,528,0.57,10194,5333250,1
5/30/2022,528,538,516,520,-1.52,8374,4363670.4,-1
5/31/2022,510,529,508,515.9,-0.79,14851,7640630,1
6/1/2022,515,524,511.1,514.9,-0.19,8769,4511646.4,-1
6/2/2022,509,520,509,515,0.02,12056,6205206.7,1
6/3/2022,509,515,506,515,0,8865,4519806.9,1
6/6/2022,505,523.8,505,511.2,-0.74,7546,3874487.6,1
6/7/2022,503.3,512,500.1,501.9,-1.82,12724,6418500,-1
6/8/2022,500,521,493.1,518,3.21,13812,7091597.1,1
6/9/2022,514,523.7,500,500,-3.47,18034,9204921.5,-1
6/10/2022,500,510,500,500,0,19203,9632868.7,0
6/13/2022,501,507.9,493,500,0,8877,4419645.1,-1
6/14/2022,493,493.5,475,476,-4.8,27671,13360721.9,-1
6/15/2022,471,471,457,463,-2.73,14752,6804883.7,-1
6/16/2022,453.8,473.9,445.2,455.1,-1.71,14587,6688440.7,1
6/17/2022,450,467.9,450,458,0.64,3683,1683882,1
6/19/2022,448.9,459,440,443,-3.28,8801,3914017,-1
6/20/2022,434.2,444,416,417,-5.87,24343,10284261.6,-1
6/21/2022,410,436,410,434.9,4.29,9096,3886452.5,1
6/22/2022,426.4,434.8,419.7,420.1,-3.4,5325,2253654,-1
6/23/2022,415,415,378.1,393,-6.45,35568,13904137.2,-1
6/24/2022,385.2,417.9,377.5,403,2.54,19957,7844407,1
6/26/2022,411,438.6,410,435,7.94,24252,10246641.9,1
6/27/2022,443.7,445,416,419,-3.68,24566,10480844.4,-1
6/28/2022,410.7,414,405,410,-2.15,9438,3874284.5,-1
6/29/2022,418.2,436,405,434.9,6.07,18030,7654657.6,1
6/30/2022,443.5,461,438,461,6,25142,11389728.4,1
7/1/2022,470.1,473.1,448,470,1.95,14412,6633584.9,-1
7/3/2022,470,500,460,496,5.53,30995,14960842.4,1
7/4/2022,505.8,520.2,480,487,-1.81,58479,29384726.1,-1
7/5/2022,496.5,498,467,470,-3.49,31770,15098207.5,-1
7/6/2022,461,492,453,488.5,3.94,15209,7140397.6,1
7/7/2022,485,504,473.1,478.5,-2.05,23028,11129398.5,-1
7/8/2022,487.9,487.9,464,467,-2.4,7586,3549225,-1
7/11/2022,463,467,436,436,-6.64,21178,9345194.1,-1
7/12/2022,436,452.8,428,441,1.15,18519,8136732.5,1
7/13/2022,433.2,469,433.2,463,4.99,13738,6321822.1,1
7/14/2022,465,474.3,452,470,1.51,15006,6979552.5,1
7/15/2022,465,470,458,460,-2.13,10574,4887021,-1
7/17/2022,460,465,452,460,0,7799,3585466.2,0
7/18/2022,464.9,470,455,470,2.17,6497,3017991,1
7/19/2022,470,489.6,467.5,480,2.13,19416,9328780.9,1
7/20/2022,471.1,496.8,471.1,488.9,1.85,15830,7728246.9,1
7/21/2022,480,500,480,483,-1.21,13522,6593481,1
7/22/2022,480,484,462,470,-2.69,10967,5192580.8,-1
7/24/2022,479,508,462,503,7.02,43607,21381232.8,1
7/25/2022,510,545,506,536,6.56,64910,34427981.7,1
7/26/2022,544,546,515.5,526,-1.87,68012,35887636.1,-1
7/27/2022,520,535,509,529,0.57,49646,25921102.3,1
7/28/2022,538,548,519,531,0.38,50570,27077214.2,-1
7/29/2022,526,533,523,527,-0.75,17682,9338940.4,1
7/31/2022,528.1,535,523,524.9,-0.4,33367,17602488,-1
8/1/2022,525,542.6,514.5,523.1,-0.34,43524,23101913.4,-1
8/2/2022,525,537.5,516,530,1.32,20909,11014914.4,1
8/3/2022,534,544.5,527.3,539,1.7,31499,16953533.3,1
8/4/2022,528.3,539,519.1,525,-2.6,44039,23286740,-1
8/5/2022,515.1,537,515.1,531.5,1.24,42875,22680042.5,1
8/7/2022,525,571,521.1,564,6.11,108359,60035650.2,1
8/8/2022,575.2,575.2,541,551,-2.3,61475,34205183.9,-1
8/9/2022,543.2,549,530.1,531.1,-3.61,55987,30096933.2,-1
8/10/2022,521,560,520.7,542,2.05,36539,19584154.9,1
8/11/2022,552.8,552.8,533.1,533.3,-1.61,20276,10925491.4,-1
8/14/2022,522.7,548,522.7,525,-1.56,31401,16623425.2,1
8/15/2022,515.1,545,515.1,540,2.86,28126,15090834.8,1
8/16/2022,545,545,520,521,-3.52,21926,11638487.1,-1
8/17/2022,521,537,519,530,1.73,16056,8486812.9,1
8/18/2022,529,549,526,538,1.51,41452,22521050,1
8/21/2022,548,548.6,530,534,-0.74,41629,22362485.5,-1
8/22/2022,540,543,527,529,-0.94,17810,9453636,-1
8/23/2022,521,540.6,521,535,1.13,13744,7341888.3,1
8/24/2022,534,545,527,531,-0.75,18946,10124666.4,-1
8/25/2022,528.1,538,522,522.1,-1.68,18922,9984447.5,-1
8/26/2022,515,529.3,515,520,-0.4,17863,9296918.5,1
8/28/2022,510.1,530,495,496,-4.62,47766,23996292.4,-1
8/29/2022,488.1,497,488.1,493.2,-0.56,16250,7999480,1
8/30/2022,490,508,490,496.9,0.75,18536,9249971.5,1
8/31/2022,490,500,485,487,-1.99,19471,9532039.5,-1
9/1/2022,487,495,468.5,479,-1.64,15007,7149762.2,-1
9/2/2022,474,483,472,479.5,0.1,2885,1383251,1
9/4/2022,489,489,478,480,0.1,10322,4974773,-1
9/5/2022,475,510,475,492,2.5,14175,6996861.3,1
9/6/2022,484,501.7,480,485,-1.42,14416,6985884,1
9/7/2022,476.1,485,476.1,479.9,-1.05,4377,2101297.2,1
9/8/2022,471.1,489.9,471.1,483.9,0.83,6992,3354595.5,1
9/11/2022,480,484,472.3,472.3,-2.4,14202,6742737.8,-1
9/12/2022,472,475,465.2,470,-0.49,6301,2942370.6,-1
