date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend,net-margin,pb-ratio,debt-equity
2024-09-04,390.0,390.0,365.0,367.0,-5.9,33952.0,12694330.3,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-05,362.1,374.0,358.7,368.8,0.49,19206.0,7005819.1,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-08,362.1,382.0,362.0,368.0,-0.22,17324.0,6419079.2,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-09,374.0,374.0,357.1,361.0,-1.9,12380.0,4493428.1,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-10,368.0,380.0,355.0,356.0,-1.39,7354.0,2655461.1,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-11,356.1,363.0,348.0,352.9,-0.87,9161.0,3212879.2,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-12,353.0,371.1,347.9,369.0,4.56,22557.0,8011006.9,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-15,375.9,376.0,355.0,359.9,-2.47,16120.0,5857318.3,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-16,359.9,359.9,338.6,340.0,-5.53,22360.0,7739645.2,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-18,346.8,347.0,338.1,338.5,-0.44,15075.0,5140165.6,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-22,340.1,346.9,340.1,342.0,1.03,14133.0,4869132.5,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-23,347.0,347.0,333.0,335.0,-2.05,9663.0,3259871.1,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-24,341.7,348.0,318.5,323.0,-3.58,15005.0,4856230.9,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-25,323.1,343.0,313.3,330.0,2.17,7630.0,2477737.3,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-26,331.0,335.0,323.4,323.5,-1.97,8799.0,2884994.4,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-29,317.1,325.3,317.1,325.0,0.46,12035.0,3902565.3,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-09-30,324.9,330.0,320.0,322.0,-0.92,5074.0,1641192.1,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-01,325.0,346.2,325.0,341.0,5.9,18603.0,6250203.0,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-02,345.0,347.2,335.0,338.9,-0.62,10853.0,3687796.6,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-06,343.5,350.0,338.0,344.5,1.65,8977.0,3081927.0,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-07,351.3,357.8,345.7,348.1,1.04,7622.0,2672609.5,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-08,347.0,347.0,340.0,345.0,-0.89,5124.0,1765336.4,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-09,341.0,350.0,338.1,345.0,0.0,3486.0,1196940.8,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-15,340.0,366.0,340.0,352.9,2.29,4261.0,1494912.5,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-16,359.0,365.0,350.1,365.0,3.43,9576.0,3443372.7,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-17,371.0,371.9,360.1,367.0,0.55,17337.0,6343549.5,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-20,360.0,364.9,344.2,355.0,-3.27,13385.0,4747353.5,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-21,362.1,362.1,338.0,338.0,-4.79,15427.0,5284623.3,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-22,340.0,352.6,339.0,352.6,4.32,5818.0,2007317.4,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-23,352.0,353.1,346.0,353.0,0.11,8617.0,3022819.5,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-24,348.0,348.0,340.0,343.0,-2.83,12983.0,4459748.0,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-27,338.5,344.7,337.3,338.0,-1.46,10297.0,3500903.1,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-28,344.6,353.9,335.0,350.0,3.55,7552.0,2633571.2,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-29,352.0,359.0,350.0,357.0,2.0,9766.0,3468931.3,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-10-30,352.0,357.0,350.0,352.0,-1.4,8357.0,2949545.5,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-05,350.0,357.0,349.0,352.0,0.0,6482.0,2268187.4,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-06,351.0,358.9,350.0,357.4,1.53,6996.0,2488044.3,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-10,355.0,385.4,355.0,380.0,6.32,28636.0,10755464.6,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-11,380.0,393.7,365.2,380.0,0.0,26385.0,10058701.3,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-12,381.0,384.0,370.1,374.0,-1.58,13719.0,5175889.4,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-13,369.7,381.0,369.7,379.9,1.58,20865.0,7896767.4,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-14,375.1,410.0,375.0,395.0,3.97,62247.0,24697537.0,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-17,402.8,417.0,399.1,401.1,1.54,30146.0,12264976.9,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-19,396.0,400.0,379.0,389.0,-3.02,25996.0,10056794.7,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-20,394.9,394.9,382.6,387.0,-0.51,17273.0,6679488.5,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-21,390.0,390.0,373.5,373.5,-3.49,19692.0,7460206.2,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-24,379.0,379.0,369.0,369.2,-1.15,17777.0,6644758.1,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-25,376.5,384.0,375.1,379.0,2.65,17645.0,6698345.0,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-26,386.5,393.0,380.2,391.0,3.17,31268.0,12108891.8,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-27,398.0,404.0,393.0,399.7,2.23,28714.0,11428324.6,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-11-28,400.0,401.0,391.0,391.0,-2.18,22406.0,8846976.4,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-01,385.0,391.0,381.0,387.0,-1.02,19930.0,7699319.0,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-02,393.5,409.0,388.0,397.0,2.58,49586.0,19868555.7,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-03,404.9,431.9,404.9,426.0,7.3,142840.0,60476199.0,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
2024-12-04,434.5,439.0,420.0,422.0,-0.94,68039.0,29232635.9,2024,-6.42,0.0,-9.5,0.0,-54.0,4.0,3.5
