date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend,net-margin,pb-ratio,debt-equity
2024-03-19,192.5,192.5,188.5,189.0,-2.02,40516,7688193.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-03-20,192.7,192.7,187.2,190.0,0.53,40408,7641481.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-03-21,189.0,190.0,186.6,187.3,-1.42,43742,8209397.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-03-25,185.0,187.0,183.6,184.3,-1.6,81711,15073846.2,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-03-26,184.0,185.0,181.1,184.8,0.27,32463,5951354.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-03-27,184.0,185.0,181.5,182.9,-1.03,40354,7353346.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-03-28,186.5,186.5,181.0,181.9,-0.55,45881,8353715.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-03-31,182.1,200.0,179.0,181.6,-0.16,92143,16703251.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-01,180.0,182.5,179.0,181.2,-0.22,28648,5190099.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-02,184.8,184.8,181.0,181.2,0.0,91209,16515521.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-03,183.9,184.8,181.0,181.4,0.11,39590,7175605.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-04,181.0,181.0,179.0,179.6,-0.99,47587,8577878.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-07,180.0,181.9,177.5,180.6,0.56,59561,10684391.6,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-09,184.2,184.2,180.0,180.2,-0.22,58231,10544217.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-10,182.0,182.0,179.0,182.0,1.0,62691,11279408.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-14,182.0,182.0,179.0,179.0,-1.65,50721,9112217.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-15,180.0,181.0,176.0,180.0,0.56,124478,22108894.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-16,178.5,180.0,177.0,177.4,-1.44,28551,5074055.9,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-18,177.8,180.0,175.0,175.3,-1.18,31384,5529155.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-21,175.0,177.0,170.0,174.0,-0.74,77654,13325597.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-22,174.6,176.6,172.0,173.1,-0.52,80886,13997601.3,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-24,174.0,178.8,170.5,177.6,2.6,88218,15456291.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-25,178.0,178.5,175.0,176.0,-0.9,156967,27647829.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-28,179.5,179.5,172.0,176.0,0.0,64657,11393984.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-29,179.5,179.5,173.0,177.5,0.85,155320,27420854.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-04-30,178.0,180.0,175.0,180.0,1.41,207105,36850557.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-02,183.6,183.6,177.0,180.0,0.0,95841,17212338.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-05,180.0,180.0,175.0,177.9,-1.17,62269,10995487.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-06,181.4,181.4,174.5,176.0,-1.07,31949,5642513.8,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-07,174.1,176.6,173.0,174.0,-1.14,66370,11534223.4,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-08,172.5,176.0,171.2,172.0,-1.15,33006,5670134.1,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-09,174.4,174.4,170.0,173.2,0.7,52164,8925120.7,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-12,176.6,176.6,170.5,174.0,0.46,56128,9701160.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-13,177.4,181.0,173.2,178.0,2.3,92897,16515322.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-14,181.5,181.5,176.0,177.0,-0.56,39770,7048534.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-15,178.0,180.0,178.0,178.0,0.56,54933,9822282.0,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
2024-05-16,181.5,181.5,175.1,176.0,-1.12,48622,8597970.5,2024,16.99,14.54,10.2,5.5,11.69,1.39,8.45
